dm_key,dm_code_sample,primary_name,variant_count,total_people,all_variants
0879,087975,Alperovich,9,308,Alperovich (138) | Alperovitz (58) | Alperovitch (47) | Alpert (36) | Alperovitsh (16) | Alperowitz (5) | Alperowich (5) | Alper (2) | Alperowicz (1)
5439,543980,Castroll,12,90,Castroll (40) | Kastrel (23) | Costrell (14) | Kastrell (4) | Kastrol (2) | Kostrell (1) | Kastroll (1) | Kostrel (1) | Kostrelis (1) | Kastrel or Castrel (1) | Castrol (1) | Castro (1)
7840,784000,Vulis,8,81,Vulis (67) | Bletz (4) | Woolis (4) | Wulis (2) | Vulis- (1) | Woolis or Vulis (1) | Wells (1) | Polyusya (1)
5436,543600,Kasdan,3,58,Kasdan (30) | Kasden (24) | Husyatiner (4)
5600,560000,Cohen,11,45,Cohen (29) | Kouhana (4) | Cohen Zaidman (2) | Kahan (2) | Kohn (2) | Cohen ; Ozeri (1) | Henia (1) | Chane (1) | Kane (1) | Hannah (1) | Genia (1)
5974,597400,Gurevitz,9,43,Gurevitz (14) | Horowitz (10) | Gurewitz (5) | Horwitz (5) | Horvitz (2) | Horwitz or Gurevitz (2) | Gurevitch (2) | Hurwitz (2) | Gurwicz (1)
3794,379436,Twersky,6,43,Twersky (22) | Duberstein (14) | Doberstein (3) | Duberstein (Dobroshtan) (2) | Duberstein (Duberstein) (1) | Tabares (1)
7900,790000,Byer,7,39,Byer (20) | Bear (8) | Popper (3) | Ferraro (3) | Fohrer (3) | Popper-Herbert (1) | Baer (1)
4300,430000,Sud,2,38,Sud (24) | Syat (14)
0796,079675,Abrams,6,34,Abrams (23) | Abramowitz (6) | Abramovich (2) | Abromovitz (1) | Avrum (1) | Avraam (1)
5300,530000,Chait,4,33,Chait (25) | Hyatt (6) | Kathy (1) | Chite (1)
5969,596900,Kremer,2,33,Kremer (27) | Kramer (6)
8600,860000,Lnu,3,31,Lnu (29) | Leon (1) | Lenen'Ka (1)
4360,436000,Zaidman,5,30,Zaidman (14) | Stein (8) | Stone (5) | Zeidman (2) | Seidman (1)
7936,793600,Friedman,6,28,Friedman (16) | Portney (5) | Freedman (4) | Wertheimer (1) | Wertheim (1) | Friedmanof (1)
5647,564795,Ginzburg,3,28,Ginzburg (24) | Ginsburg (3) | Ginsberg (1)
5940,594000,Hirsh,6,27,Hirsh (17) | Hirsch (5) | Krauss (2) | Gross (1) | Harris (1) | Greisha (1)
5786,578600,Kaplan,3,27,Kaplan (22) | Kaplane (4) | Kopelnick (1)
7600,760000,Fine,7,24,Fine (10) | Ben (5) | Ben-Amos (4) | Baim (2) | Ben-David (1) | Fannie (1) | Beena (1)
5760,576000,Hoffman,4,24,Hoffman (11) | Cowan (9) | Gefen (3) | Geffen (1)
5936,593600,Gordon,3,24,Gordon (13) | Gordin (10) | Courtney (1)
8646,864600,Lanzman,3,23,Lanzman (15) | Lantzman (7) | Landsman (1)
5879,587975,Heilprin,8,22,Heilprin (7) | Halperovich (5) | Galperovich (3) | Heilbrun (3) | Galpeer (1) | Globerman (1) | Galperovitch (1) | Halperin (1)
5843,584360,Goldstein,1,22,Goldstein (22)
4860,486000,Shulman,7,21,Shulman (15) | Shlomo (1) | Schulman (1) | Shelman (1) | Sulman (1) | Shloima (1) | Zalman (1)
